address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x026a806fdfe0e4694ebd929792bd5ba7775ac9c3,hourly,21,4,17,8.36,0.03,39.12,8.33,0.1905,0,21
0x026c8619fc09db33921110e09e62381ba163e561,15min,102,46,56,598.48,228.48,536.71,370.0,0.451,0,102
0x026cf46b0330a8c4ab199730eaa46f17da2c4da8,15min,13,7,6,22.86,3.25,48.51,19.6,0.5385,0,13
0x026cf46b0330a8c4ab199730eaa46f17da2c4da8,hourly,17,7,10,20.42,10.35,134.64,10.07,0.4118,0,17
0x027dfcd4e78f176b0191ba6a40af217844916a30,monthly,12,0,0,0.0,0.0,135.3,0.0,0.0,0,0
0x02836bd345678f4f011951e357e25f0b00afe7d3,daily,21,12,9,214.0,27.03,4401.19,186.97,0.5714,0,21
0x028f460587920e467c69bd3f4a606bcc7cc09e2a,15min,11,11,0,63.3,0.0,56.74,63.3,1.0,0,11
0x02a074ef52535f56ba0a4896afb462c7c5f5d71e,15min,14,3,11,11.35,11.96,13.39,-0.61,0.2143,0,14
0x02a40699b5893d160ac1ae719c0700fb95ca6854,daily,43,5,37,144.64,297.87,854.0,-153.23,0.119,0,42
0x02bdef944fac25ddbcf01b61ff5b375be64b3f88,15min,94,80,14,399.09,190.47,433.35,208.63,0.8511,1,94
0x02c16393d07dafd7286175dbe2125888eee62e70,monthly,87,0,0,0.0,0.0,12408.49,0.0,0.0,0,0
0x02c1ec85e707b3440e608eb252360c0437637dec,15min,38,12,26,97.4,115.28,398.71,-17.89,0.3158,0,38
0x02cfb7e26944d1489248eb5889f6b7f2ac00cd50,15min,25,14,11,20.45,26.12,57.73,-5.67,0.56,0,25
0x02e97d246cd3f0cf4d44524ca73377396251430e,daily,26,14,11,870.18,102.86,911.48,767.33,0.56,0,25
0x02f0491cf45d7b68ff1953f02c5687a324922537,15min,150,51,99,429.43,84.07,2367.9,345.36,0.34,0,150
0x02f524221fc6aff62ba531d7bb93f35a52ef5c6c,15min,98,68,30,640.77,193.03,887.19,447.74,0.6939,0,98
0x02faeea0baf9c9346ac2d4bce7cfdc84c3672f38,daily,17,11,5,19.31,4.09,31.54,15.22,0.6875,1,16
0x03030fa948db8dfaa8384ae910359bcbb4e3fcd1,monthly,11,0,0,0.0,0.0,1035.42,0.0,0.0,0,0
0x031bc3f58b4aed723fdfa32c267714802cc3babc,monthly,12,0,0,0.0,0.0,4500.66,0.0,0.0,0,0
0x03282979812ef3e7083ff74434caa995c5b828fa,15min,16,0,16,0.0,174.76,284.27,-174.76,0.0,0,16
0x032c45e07df594eae57afb071f70fbeed5327479,15min,15,9,6,37.82,16.65,46.68,21.17,0.6,0,15
0x033322eb5c581674ad6c061c6b95b1587d267d70,daily,10,8,2,16.55,7.81,39.69,8.74,0.8,1,10
0x0337c9c09ac5b02d8a5c83f2e115d93198ca27b7,15min,242,98,144,362.06,245.6,455.22,116.46,0.405,0,242
0x0337c9c09ac5b02d8a5c83f2e115d93198ca27b7,hourly,92,31,61,115.7,73.86,207.88,41.85,0.337,0,92
0x033eeb3efed4a42059faace467c5c3f6eb2e1bb9,daily,43,33,10,4516.68,333.87,10597.98,4182.81,0.7674,1,43
0x033f0346c007323030eb420305ffede19a95618e,daily,19,14,5,1515.43,7.1,1505.34,1508.33,0.7368,1,19
0x0341509b21bc27c28f6056589bbe3fd5f4c43ff3,15min,142,53,89,981.78,596.72,1611.84,385.06,0.3732,0,142
0x034779da742d0dd818273c9957a6cdb66f3f22de,hourly,11,0,11,0.0,22.61,100.98,-22.61,0.0,0,11
0x034e325dd21401c6ba00357712dd5c174e561829,15min,78,46,32,139.19,63.57,223.46,75.62,0.5897,0,78
0x03502aa596167db5e661a3d5eb16ccbd6b205482,15min,12,4,8,147.91,510.2,476.57,-362.3,0.3333,0,12
