address,total_net_pnl_usd,num_tokens,win_tokens,loss_tokens,win_rate,best_timeframe,tf_win_rate
0x8fc296f473a378035087cf026b3268dbbea8a7ef,"+13,310.48",9,8,1,0.89,hourly,0.96
0x52ca1838d17efbc06a4dbc49754da8bff28b1d63,"+13,285.54",1,1,0,1.00,-,-
0x562fa836dd0c7ecaf666cd02e88652b8acfde46f,"+13,237.75",2,2,0,1.00,monthly,0.00
0xd44e29936409019f93993de8bd603ef6cb1bb15e,"+13,149.67",235,142,93,0.60,15min,0.55
0x204e14f11a08a465479e437b0e37b7e9e0358d08,"+13,141.06",1,1,0,1.00,daily,1.00
0xd62f5c6cc1fe43b40d1684376f23df351f34f49b,"+13,032.34",30,11,19,0.37,15min,0.55
0xc757850237e266d3b08d16b8455777a88590ccfc,"+13,013.01",1,1,0,1.00,-,-
0x8cb3e7aeebaacffb612fb63a523064ec82f18523,"+12,750.00",2,2,0,1.00,hourly,0.58
0xd527796ba4fee741d0d6bed079501a6065ac42e5,"+12,730.00",1,1,0,1.00,-,-
0x337c72da96632982d5edb0b6ba3d955d9d284bfc,"+12,600.00",6,6,0,1.00,-,-
0x5ee1c416fbe1c3e6a8bc51b74dd816c43276e116,"+12,363.46",15,15,0,1.00,daily,1.00
0xd9e0aaca471f489be338fd0f91a26e8669a805f2,"+12,350.95",16,11,5,0.69,daily,0.51
0xe4fc1041edb5c205e449fb6a5967e9db24418af7,"+12,208.04",8,6,2,0.75,daily,0.52
0xfd689525582c0c9bc90ecb0004c717cf239e90ef,"+12,111.00",4,3,1,0.75,daily,0.65
0x1a65c2f91475b73bbc9c473620b1abc1b24715b1,"+11,733.78",5,4,1,0.80,daily,0.73
0x54e2b86bc5ce72f6c39797f5e2aa734cbe0034fb,"+11,661.28",5,4,1,0.80,daily,0.77
0x29978facc899668e4972a6a21b73aff0a8bc6c34,"+11,613.58",6,4,2,0.67,daily,0.46
0xdefebc7ed6f5d6e8710398f37eea6fc1746a17f4,"+11,577.92",3,2,1,0.67,daily,0.83
0xe1509601923435425bd79eadcca7763ed524b747,"+11,535.00",4,4,0,1.00,-,-
0x08c59894c5e32f0e5406799e49a9a33f4b7643ed,"+11,459.63",2,1,1,0.50,-,-
0x1b4dcb558d875bc17a6f7452fed74d59ca76a8ae,"+11,412.00",6,6,0,1.00,-,-
0x439b4cac193239c5769ac26e1d0b167e22182c9a,"+11,218.66",1,1,0,1.00,daily,1.00
0xd7a58948a0aba3015f057ab4ecc5bef039e47c26,"+11,211.16",3,1,2,0.33,daily,0.73
0xe8ade1c67a880380ec861c476052c2f00057a859,"+11,148.88",11,10,1,0.91,daily,0.68
0x93b110ff31deb58847e841b3cbc6535b3e7b746e,"+11,096.13",47,30,17,0.64,hourly,0.79
0xe00740bce98a594e26861838885ab310ec3b548c,"+11,020.29",595,328,267,0.55,15min,0.40
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,"+10,942.00",32,14,18,0.44,daily,0.56
0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,"+10,911.89",7,3,4,0.43,daily,0.72
0xb6ce76828a51b382f7e88cbb9baa0f03f9c17a7d,"+10,890.62",34,21,13,0.62,daily,0.56
0xe71c732c31a90db1e2f2adb81fdd413c816cdcbc,"+10,800.00",1,1,0,1.00,-,-
0x6a89f631cee38d760e08f78cab2a5b88c82e196f,"+10,696.43",3,2,1,0.67,daily,0.57
0xde95008996fceacbea0d3b4750bad4f395ba6d9b,"+10,528.00",4,3,1,0.75,-,-
0x53b6d7719454ab759f75180f9be72d5b1fbcf9aa,"+10,460.00",4,3,1,0.75,-,-
0xbdff794cf29a725777996884084af32e4a694448,"+10,420.00",3,3,0,1.00,-,-
0xb146cae3d0c624568eefa24f1ad2c20f34a95488,"+10,410.00",3,3,0,1.00,-,-
0xa4013222aac51fd9521caf8acb4ebe8b8b540b01,"+10,405.00",6,4,2,0.67,-,-
0x1b6b09b011c95dab2e3e03294701864eb663c329,"+10,388.00",6,4,2,0.67,-,-
0xdd912ee053353d4a8f2745d85bee0d7eda18e5f1,"+10,350.00",1,1,0,1.00,-,-
0xdd8e67a862bd81067891ad41e86e9673229ef023,"+10,302.68",2,2,0,1.00,daily,1.00
0x1d97cbb09c4ec66f069fc7248717c5e8d056a263,"+10,300.00",1,1,0,1.00,-,-
0xb6bf9ee0da6897d2bbee101df45a2244255fec1a,"+10,291.25",3,3,0,1.00,-,-
0x3b527933d5980aa3d78668374646b906302cf71a,"+10,200.00",1,1,0,1.00,-,-
0x1f0d612f94705dbfd45c335aa1af17a437826578,"+10,200.00",2,2,0,1.00,-,-
0x58776759ee5c70a915138706a1308add8bc5d894,"+10,197.58",8,2,6,0.25,daily,0.50
0xad89f899f1524533adfd1e6a07da692fcd92f6e1,"+10,112.11",4,1,3,0.25,daily,0.67
0x38b67687d19b77a7e5e2f5a9b5d8e2d2cf9d3e83,"+10,000.00",5,3,2,0.60,-,-
0x08dc40820e5c48c64a91684a172f0216254cbe14,"+9,975.00",8,4,4,0.50,hourly,0.50
0xecf7aa2ff2cab0918f662696227ba48446406059,"+9,900.00",6,6,0,1.00,-,-
0x8a37fe3a49a36de9facd04bd09ee379211f7c99c,"+9,657.05",4,4,0,1.00,-,-
0xb20102ac3748d8c12c91ead4b544345e44982ac5,"+9,607.50",3,3,0,1.00,-,-
0x166f3efc69891f695651e129244f1704096c7018,"+9,541.50",5,5,0,1.00,-,-
0x8454f39e7fa6957dfbf1ecc574820ada1c92331a,"+9,489.15",4,3,1,0.75,daily,0.73
0x048d78cfb8fbdc209c0e9529b525bc150a3668da,"+9,482.98",443,253,189,0.57,15min,0.49
0x21ce5bf0a044bd61d935a90ce1d3b5e4d5a46f34,"+9,387.76",1,1,0,1.00,-,-
0xed046835d1932d82aa2ab114ac8a8ccbf2a34ab1,"+9,375.00",2,2,0,1.00,-,-
0xb7f55b6d32c2ee3768192d676cd66354f51fc669,"+9,355.26",2,2,0,1.00,daily,1.00
